Ranking,Tier,Player ID,Player,Position,Team,Age,Prev Rank,Movement,Signed,ETA,In-Person Look
1,1,*05u9z*,Roman Anthony,OF,BOS,21,1,0,2022,2025,Y
2,2,*0662o*,Sebastian Walcott,"3B,SS",TEX,19.1,2,0,2023,2026,Y
3,2,*06f0q*,Kristian Campbell,"2B,SS,OF",BOS,22.9,3,0,2023,Debuted,Y
4,2,*05r9j*,Marcelo Mayer,SS,BOS,22.4,7,3,2021,2025,Y
5,2,*05rik*,Bubba Chandler,SP,PIT,22.6,6,1,2021,2025,Y
6,2,*05u3u*,Konnor Griffin,SS,PIT,19,25,19,2024,2027,Y
7,2,*062k5*,Nick Kurtz,1B,ATH,22.1,31,24,2024,Debuted,Y
8,2,*067yc*,Leodalis De Vries,SS,SD,18.6,24,16,2024,2026,Y
9,3,*05rbv*,Samuel Basallo,"C,1B",BAL,20.7,8,-1,2021,2025,Y
10,3,*06eyu*,Zyhir Hope,OF,LAD,20.3,26,16,2023,2026,Y
11,3,*05yai*,Bryce Rainer,SS,DET,19.8,20,9,2024,2027,Y
12,3,*06aw3*,JJ Wetherholt,SS,STL,22.6,14,2,2024,2025,
13,3,*063vu*,Matt Shaw,"2B,3B,SS",CHC,23.5,5,-8,2023,Debuted,Y
14,3,*05zde*,Travis Bazzana,2B,CLE,22.7,11,-3,2024,2025,
15,3,*06ibv*,Jesus Made,SS,MIL,18,27,12,2024,2028,Y
16,3,*05rb0*,Jackson Jobe,SP,DET,22.8,10,-6,2021,Debuted,Y
17,3,*05r3i*,Andrew Painter,SP,PHI,22.1,15,-2,2021,2025,Y
18,3,*054p6*,Emmanuel Rodriguez,OF,MIN,22.2,16,-2,2019,2025,Y
19,3,*05yby*,Kevin McGonigle,"2B,SS",DET,20.7,9,-10,2023,2026,Y
20,3,*05xtz*,Dalton Rushing,"C,OF",LAD,24.2,18,-2,2022,2025,
21,4,*05u9y*,Max Clark,OF,DET,20.4,12,-9,2023,2026,Y
22,4,*05zh9*,Luke Keaschall,2B,MIN,22.7,28,6,2023,Debuted,Y
23,4,*05u96*,Bryce Eldridge,1B,SF,20.5,21,-2,2023,2025,Y
24,4,*05yj0*,Chase Dollander,SP,COL,23.5,22,-2,2023,Debuted,Y
25,4,*05uc7*,Noah Schultz,SP,CHW,21.7,23,-2,2022,2025,Y
26,4,*05u9q*,Jac Caglianone,1B,KC,22.2,30,4,2024,2025,Y
27,4,*061zv*,Josue De Paula,OF,LAD,19.9,42,15,2022,2026,
28,4,*05u3v*,Walker Jenkins,OF,MIN,20.2,17,-11,2023,2026,Y
29,4,*060jo*,Cam Smith,3B,HOU,22.2,29,0,2024,Debuted,
30,4,*06b72*,George Lombard Jr.,SS,NYY,19.9,32,2,2023,2026,Y
31,4,*05js5*,Coby Mayo,3B,BAL,23.4,33,2,2020,Debuted,Y
32,4,*04z6m*,Agustin Ramirez,"C,1B",MIA,23.6,80,48,2019,Debuted,Y
33,4,*0630d*,Drake Baldwin,C,ATL,24.1,34,1,2022,Debuted,Y
34,4,*05rb3*,Chase Burns,SP,CIN,22.3,35,1,2024,2025,
35,4,*05tp6*,Thomas White,SP,MIA,20.6,37,2,2023,2026,
36,4,*05ycl*,Travis Sykora,SP,WSH,21,40,4,2023,2026,Y
37,4,*05y3p*,Arjun Nimmala,SS,TOR,19.5,53,16,2023,2026,Y
38,4,*05t9n*,Carson Williams,SS,TB,21.9,19,-19,2021,2025,Y
39,5,*060ub*,Colt Emerson,SS,SEA,19.8,41,2,2023,2026,Y
40,5,*05yix*,Jaison Chourio,OF,CLE,20,44,4,2022,2027,Y
41,5,*067xj*,Cooper Pratt,SS,MIL,20.7,65,24,2023,2026,Y
42,5,*066sx*,Jonny Farmelo,OF,SEA,20.6,47,5,2023,2026,
43,5,*05rcg*,Braden Montgomery,OF,CHW,22,48,5,2024,2026,Y
44,5,*05wxy*,Kyle Teel,C,CHW,23.2,50,6,2023,2025,Y
45,5,*05r5e*,Angel Genao,SS,CLE,21,52,7,2021,2026,Y
46,5,*05y7n*,Jarlin Susana,SP,WSH,21.1,56,10,2022,2026,Y
47,5,*060gd*,Quinn Mathews,SP,STL,24.6,36,-11,2023,2025,
48,5,*05u36*,Aidan Miller,SS,PHI,20.9,45,-3,2023,2026,Y
49,5,*05r1m*,Jordan Lawlar,SS,ARI,22.8,61,12,2021,Debuted,Y
50,5,*05mx9*,Felnin Celesten,SS,SEA,19.6,46,-4,2023,2027,Y
51,5,*04azu*,Kumar Rocker,SP,TEX,25.5,38,-13,2022,Debuted,Y
52,5,*05zd4*,Hagen Smith,SP,CHW,21.7,39,-13,2024,2025,Y
53,5,*06ier*,Ryan Sloan,SP,SEA,19.3,120,67,2024,2027,
54,5,*064o4*,Demetrio Crisantes,2B,ARI,20.7,60,6,2022,2026,
55,5,*05r64*,Thayron Liranzo,"C,1B",DET,21.8,51,-4,2021,2026,Y
56,5,*0637j*,Josue Briceno,1B,DET,20.6,66,10,2023,2026,Y
57,6,*06c78*,Franklin Arias,"2B,SS",BOS,19.5,86,29,2023,2027,Y
58,6,*06bsb*,Eduardo Tait,C,PHI,18.7,73,15,2023,2027,Y
59,6,*062pp*,Xavier Isaac,1B,TB,21.4,74,15,2022,2026,Y
60,6,*05rfc*,Lazaro Montes,OF,SEA,20.5,75,15,2022,2026,
61,6,*06alk*,Charlie Condon,OF,COL,22.1,76,15,2024,2026,Y
62,6,*06c79*,Eduardo Quintero,OF,LAD,19.6,43,-19,2023,2027,
63,6,*06agr*,Slade Caldwell,OF,ARI,18.9,125,62,2024,2027,
64,6,*060la*,Jett Williams,SS,NYM,21.5,59,-5,2022,2025,Y
65,6,*061mh*,Robby Snelling,SP,MIA,21.4,162,97,2022,2025,
66,6,*05u1y*,Cam Collier,3B,CIN,20.5,53,-13,2022,2026,Y
67,6,*05xu1*,Alex Freeland,SS,LAD,23.7,135,68,2022,2026,
68,6,*06423*,Aroon Escobar,2B,PHI,20.3,106,38,2022,2027,Y
69,6,*05rbs*,Moises Ballesteros,C,CHC,21.5,93,24,2020,2025,Y
70,6,*066mk*,Welbyn Francisca,"2B,SS",CLE,19,64,-6,2023,2027,Y
71,6,*05yid*,Michael Arroyo,2B,SEA,20.5,58,-13,2022,2026,
72,6,*05uei*,Chase DeLauter,OF,CLE,23.5,62,-10,2022,2025,Y
73,6,*066er*,Grant Taylor,SP,CHW,23,82,9,2023,2026,Y
74,6,*05uo2*,Logan Henderson,SP,MIL,23.2,85,11,2021,Debuted,Y
75,6,*05zq5*,Charlee Soto,SP,MIN,19.7,108,33,2023,2026,Y
76,6,*05js6*,Ricky Tiedemann,SP,TOR,22.7,79,3,2021,2026,Y
77,6,*061yu*,Jacob Misiorowski,SP,MIL,23.1,109,32,2022,2025,Y
78,6,*063e5*,Caden Dana,SP,LAA,21.4,70,-8,2022,Debuted,
79,6,*061bo*,Rhett Lowder,SP,CIN,23.2,68,-11,2023,Debuted,
80,6,*067yp*,Ralphy Velazquez,1B,CLE,19.9,72,-8,2023,2026,Y
81,6,*05y7x*,Cole Young,"2B,SS",SEA,21.8,87,6,2022,2025,
82,6,*061yt*,Alan Roden,OF,TOR,25.4,88,6,2022,Debuted,Y
83,7,*04qow*,Kevin Alcantara,OF,CHC,22.8,90,7,2018,Debuted,Y
84,7,*061gx*,Jacob Melton,OF,HOU,24.7,91,7,2022,2025,Y
85,7,*0622w*,Chandler Simpson,OF,TB,24.5,92,7,2022,Debuted,Y
86,7,*06f1b*,Brody Hopkins,SP,TB,23.3,83,-3,2023,2026,Y
87,7,*05joq*,Connor Prielipp,SP,MIN,24.3,84,-3,2022,2025,Y
88,7,*05gss*,Jeferson Quero,C,MIL,22.6,77,-11,2019,2025,Y
89,7,*05y3q*,Blake Mitchell,C,KC,20.8,94,5,2023,2026,Y
90,7,*05rcd*,Joe Mack,C,MIA,22.4,185,95,2021,2026,Y
91,7,*06kkf*,Braylon Payne,OF,MIL,18.7,153,62,2024,2027,Y
92,7,*05y30*,Justin Crawford,OF,PHI,21.3,95,3,2022,2026,Y
93,7,*06j3f*,Luis Pena,SS,MIL,18.5,136,43,2024,2028,Y
94,7,*06mnh*,Dasan Hill,SP,MIN,19.4,266,172,2024,2027,
95,7,*05y7s*,Nolan McLean,SP,NYM,23.8,98,3,2023,2026,
96,7,*06apx*,Trey Yesavage,SP,TOR,21.8,99,3,2024,2026,Y
97,7,*05tzo*,J.R. Ritchie,SP,ATL,21.9,100,3,2022,2026,Y
98,7,*0658b*,Jonah Tong,SP,NYM,21.9,102,4,2022,2026,
99,7,*067xm*,George Klassen,SP,LAA,23.3,170,71,2023,2025,
100,7,*06ibo*,Emil Morales,SS,LAD,18.6,96,-4,2024,2027,
101,7,*06icc*,Eduardo Beltre,OF,MIN,18.6,103,2,2024,2027,Y
102,7,*05un2*,Edgar Quero,C,CHW,22.1,128,26,2021,Debuted,Y
103,7,*06dlz*,Ryan Waldschmidt,OF,ARI,22.6,168,65,2024,2026,
104,7,*05yed*,Eric Bitonti,3B,MIL,19.5,123,19,2023,2026,Y
105,7,*04yi8*,Spencer Jones,OF,NYY,24,107,2,2022,2026,Y
106,7,*05jri*,Alejandro Rosario,SP,TEX,23.3,71,-35,2023,2027,Y
107,7,*0515o*,Brandon Sproat,SP,NYM,24.6,77,-30,2023,2025,
108,7,*06c36*,Brice Matthews,"3B,SS",HOU,23.1,97,-11,2023,2025,Y
109,7,*06dq9*,Aidan Smith,OF,TB,20.8,67,-42,2023,2026,Y
110,7,*05gww*,Cade Horton,SP,CHC,23.7,110,0,2022,2025,Y
111,7,*05uy5*,AJ Smith-Shawver,SP,ATL,22.5,111,0,2021,Debuted,Y
112,7,*05yaz*,Will Warren,SP,NYY,25.9,112,0,2021,Debuted,Y
113,7,*062pm*,Owen Murphy,SP,ATL,21.6,113,0,2022,2026,Y
114,7,*06626*,Alfredo Duno,C,CIN,19.3,151,37,2023,2026,
115,7,*0620x*,Santiago Suarez,SP,TB,20.3,115,0,2022,2026,Y
116,7,*06col*,Austin Overn,OF,BAL,22,304,188,2024,2026,Y
117,7,*05wrt*,Tre' Morgan,1B,TB,22.8,81,-36,2023,2025,Y
118,7,*05u9o*,Sal Stewart,"2B,3B",CIN,21.4,104,-14,2022,2026,
119,7,*05rch*,Colson Montgomery,SS,CHW,23.2,55,-64,2021,2025,Y
120,7,*06434*,Jimmy Crooks,C,STL,23.8,149,29,2022,2025,Y
121,7,*066eo*,Cole Carrigg,OF,COL,23,117,-4,2023,2025,
122,7,*05ge1*,Ryan Clifford,"1B,OF",NYM,21.8,89,-33,2022,2025,Y
123,7,*06dqb*,Shane Smith,RP,CHW,25.1,217,94,2022,Debuted,Y
124,7,*05gd5*,Luis Perales,SP,BOS,22.1,119,-5,2019,2026,Y
125,7,*06dqi*,Jake Bloss,SP,TOR,23.9,121,-4,2023,Debuted,Y
126,7,*066mo*,Robert Calaz,OF,COL,19.4,122,-4,2023,2027,
127,7,*05u6g*,Jackson Ferris,SP,LAD,21.3,148,21,2022,2026,
128,8,*06625*,Joendry Vargas,SS,LAD,19.5,126,-2,2023,2027,
129,8,*06cq8*,Christian Moore,2B,LAA,22.5,54,-75,2024,2025,
130,8,*06aly*,Carson Benge,OF,NYM,22.3,116,-14,2024,2026,
131,8,*064o6*,Gary Gill Hill,SP,TB,20.6,131,0,2022,2026,Y
132,8,*06dn6*,C.J. Kayfus,"1B,OF",CLE,23.5,180,48,2023,2025,Y
133,8,*05raz*,Chase Petty,SP,CIN,22.1,133,0,2021,2025,
134,8,*04fyo*,Ronny Mauricio,2B,NYM,24.1,134,0,2017,Debuted,Y
135,8,*059bx*,Brady House,3B,WSH,21.9,183,48,2021,2025,Y
136,8,*05rc5*,Termarr Johnson,"2B,SS",PIT,20.9,136,0,2022,2026,Y
137,8,*0630e*,Colby Thomas,OF,ATH,24.3,137,0,2022,2025,Y
138,8,*05jsg*,Owen Caissie,OF,CHC,22.8,138,0,2020,2025,Y
139,8,*05nsq*,Deyvison De Los Santos,"1B,3B",MIA,21.9,177,38,2019,2025,Y
140,8,*06gwk*,Payton Tolle,SP,BOS,22.5,210,70,2024,2026,Y
141,8,*06mlb*,Juan Valera,SP,BOS,19,211,70,2023,2027,Y
142,8,*064zm*,Didier Fuentes,SP,ATL,19.9,201,59,2022,2026,Y
143,8,*06f1r*,Connelly Early,SP,BOS,23.1,243,100,2023,2025,Y
144,8,*04ysv*,Adael Amador,2B,COL,22.1,142,-2,2019,Debuted,
145,8,*05unf*,Denzel Clarke,OF,ATH,25,144,-1,2021,2025,Y
146,8,*06mnj*,Griffin Burkholder,OF,PHI,19.7,145,-1,2024,2027,
147,8,*05jpx*,Tink Hence,SP,STL,22.7,101,-46,2020,2026,Y
148,8,*0662m*,Luis Morales,SP,ATH,22.6,147,-1,2023,2026,
149,8,*05vy5*,Carter Jensen,C,KC,21.8,106,-43,2021,2026,Y
150,8,*06f0p*,Cooper Ingle,C,CLE,23.2,150,0,2023,2026,Y
151,8,*06cn0*,Ramon Ramirez,C,KC,19.9,129,-22,2023,2027,Y
152,8,*05raw*,Harry Ford,C,SEA,22.2,161,9,2021,2025,Y
153,8,*05gbg*,Zac Veen,OF,COL,23.4,124,-29,2020,Debuted,Y
154,8,*05wy1*,Brayden Taylor,"3B,SS",TB,23,152,-2,2023,2026,Y
155,8,*0630f*,Gabriel Rincones Jr.,OF,PHI,24.2,250,95,2022,2025,Y
156,8,*06dqd*,Ben Williamson,3B,SEA,24.5,329,173,2023,Debuted,
157,8,*06k81*,Yairo Padilla,SS,STL,17.8,154,-3,2024,2028,
158,8,*06ps2*,Josuar Gonzalez,SS,SF,17.5,155,-3,2025,2028,
159,8,*04z6k*,Luisangel Acuna,SS,NYM,23.1,156,-3,2018,Debuted,Y
160,8,*061rf*,Jesus Baez,"3B,SS",NYM,20.2,157,-3,2022,2026,
161,8,*05gwo*,Cristian Hernandez,"2B,SS",CHC,21.4,479,318,2021,2026,Y
162,8,*06hea*,Caleb Bonemer,SS,CHW,19.6,358,196,2024,2027,
163,8,*0568a*,Max Acosta,"2B,SS",MIA,22.5,140,-23,2019,2025,Y
164,8,*066b3*,K.C. Hunt,SP,MIL,24.8,206,42,2022,2026,
165,8,*05gef*,Cade Cavalli,SP,WSH,26.7,239,74,2020,Debuted,
166,8,*05u9j*,Jackson Baumeister,SP,TB,22.8,114,-52,2023,2026,Y
167,8,*06f1o*,Trevor Harrison,SP,TB,19.7,159,-8,2023,2027,Y
168,8,*06qif*,Brandon Clarke,SP,BOS,22.1,290,122,2024,2026,Y
169,8,*06hv8*,Logan Evans,SP,SEA,23.9,139,-30,2023,Debuted,
170,8,*060gg*,Adam Mazur,SP,MIA,24,254,84,2022,Debuted,
171,8,*05zya*,Thomas Harrington,SP,PIT,23.8,69,-102,2022,Debuted,Y
172,8,*066ch*,Jake Miller,SP,DET,23.9,163,-9,2022,2025,Y
173,8,*04nb5*,Hunter Barco,SP,PIT,24.4,214,41,2022,2025,Y
174,8,*05ycf*,Noah Cameron,SP,KC,25.8,215,41,2021,2025,Y
175,8,*060vu*,Moises Chace,SP,PHI,21.9,132,-43,2019,2026,Y
176,8,*066mz*,Brailer Guerrero,OF,TB,18.9,166,-10,2023,2027,Y
177,8,*06dsa*,Kyle Karros,3B,COL,22.8,396,219,2023,2025,
178,9,*066iq*,Ben Hess,SP,NYY,22.7,307,129,2024,2026,Y
179,9,*06bfu*,Alex Clemmey,SP,WSH,19.8,212,33,2023,2026,Y
180,9,*06l3m*,Bryce Cunningham,SP,NYY,22.4,289,109,2024,2026,Y
181,9,*060m8*,Jurrangelo Cijntje,SP,SEA,21.9,195,14,2024,2026,
182,9,*05r3s*,Alejandro Osuna,OF,TEX,22.6,172,-10,2020,2025,Y
183,9,*062e5*,Vance Honeycutt,OF,BAL,22,173,-10,2024,2026,Y
184,9,*06c7i*,Tai Peete,SS,SEA,19.7,174,-10,2023,2026,
185,9,*05js7*,Nick Yorke,2B,PIT,23.1,143,-42,2020,Debuted,Y
186,9,*05ucf*,James Triantos,2B,CHC,22.3,118,-68,2021,2025,Y
187,9,*05xu0*,Drew Gilbert,OF,NYM,24.6,175,-12,2022,2025,Y
188,9,*062e0*,Cam Caminiti,SP,ATL,18.7,176,-12,2024,2026,Y
189,9,*06hwt*,Michael Forret,SP,BAL,21.1,293,104,2023,2026,Y
190,9,*06f0k*,Rafael Flores,"C,1B",NYY,24.5,178,-12,2022,2025,Y
191,9,*05jre*,Enrique Bradfield Jr.,OF,BAL,23.4,179,-12,2023,2025,Y
192,9,*06cq7*,Seaver King,SS,WSH,22,141,-51,2024,2026,Y
193,9,*04mms*,Orelvis Martinez,2B,TOR,23.5,182,-11,2018,Debuted,Y
194,9,*0518s*,Ryan Gusto,SP,HOU,26.2,505,311,2019,Debuted,
195,9,*05ybr*,Ethan Salas,C,SD,18.9,78,-117,2023,2026,Y
196,9,*05jn0*,Adrian Del Castillo,C,ARI,25.6,184,-12,2021,Debuted,
197,9,*06f0u*,Jaden Hamm,SP,DET,22.7,185,-12,2023,2025,Y
198,9,*06328*,PJ Morlando,OF,MIA,20,232,34,2024,2027,Y
199,9,*066j0*,JD Dix,SS,ARI,19.6,338,139,2024,2027,
200,9,*06icz*,Carter Johnson,SS,MIA,19.2,339,139,2024,2027,
201,9,*06psm*,Andrew Salas,SS,MIA,17.2,385,184,2025,2029,
202,9,*05mru*,Thomas Saggese,2B,STL,23.1,188,-14,2020,Debuted,Y
203,9,*05jrf*,Chase Davis,OF,STL,23.4,189,-14,2023,2026,
204,9,*05t9l*,Max Muncy,SS,ATH,22.7,160,-44,2021,Debuted,Y
205,9,*066mq*,Yophery Rodriguez,OF,MIL,19.4,191,-14,2023,2026,Y
206,9,*061lj*,Winston Santos,SP,TEX,23.1,192,-14,2019,2026,Y
207,9,*06kk6*,Braylon Doughty,SP,CLE,19.4,193,-14,2024,2027,
208,9,*066m0*,Kohl Drake,SP,TEX,24.8,194,-14,2022,2025,Y
209,9,*05u2p*,Jaxon Wiggins,SP,CHC,23.6,324,115,2023,2026,
210,10,*060if*,Josh Kasevich,SS,TOR,24.3,196,-14,2022,2025,Y
211,10,*062jx*,Jared Serna,SS,MIA,22.9,197,-14,2019,2025,Y
212,10,*06mnk*,Tyson Lewis,SS,CIN,19.3,198,-14,2024,2027,
213,10,*05u2m*,Theo Gillen,OF,TB,19.6,199,-14,2024,2027,Y
214,10,*0657l*,Jack Perkins,SP,ATH,27.7,200,-14,2022,2025,Y
215,10,*05rav*,Richard Fitts,RP,BOS,25.4,202,-13,2021,Debuted,Y
216,10,*05uo4*,Emiliano Teodo,SP,TEX,24.2,169,-47,2020,2025,Y
217,10,*062yr*,Noble Meyer,SP,MIA,20.3,204,-13,2023,2026,
218,10,*06htl*,Ty Johnson,SP,TB,23.6,205,-13,2023,2026,Y
219,10,*06g2a*,Felix Arronde,SP,KC,22,253,34,2021,2026,Y
220,10,*06gjv*,Nestor German,SP,BAL,23.2,207,-13,2023,2026,Y
221,10,*060q2*,Jairo Iriarte,SP,CHW,23.4,208,-13,2018,Debuted,Y
222,10,*06582*,Luke Adams,"1B,3B",MIL,21,105,-117,2022,2026,Y
223,10,*0641c*,Zach Dezenzo,1B,HOU,25,164,-59,2022,Debuted,Y
224,10,*061wh*,Jefferson Rojas,SS,CHC,20,165,-59,2022,2026,Y
225,10,*0648r*,Andrew Morris,SP,MIN,23.7,213,-12,2022,2025,Y
226,10,*06mff*,Justin Gonzales,1B,BOS,18.3,283,57,2024,2028,Y
227,10,*05m1c*,Miguel Bleis,OF,BOS,21.2,282,55,2021,2026,Y
228,10,*066mn*,Yoeilin Cespedes,SS,BOS,19.7,187,-41,2023,2027,Y
229,10,*061xq*,Miguel Ullola,SP,HOU,22.9,216,-13,2021,2025,Y
230,10,*064og*,Franyerber Montilla,"2B,SS",DET,20.1,402,172,2022,2026,Y
231,10,*066mx*,Starlyn Caba,SS,MIA,19.4,171,-60,2023,2027,Y
232,10,*05u2k*,Hao-Yu Lee,2B,DET,22.2,218,-14,2021,2025,Y
233,10,*05ua8*,Cooper Kinney,2B,TB,21.4,271,38,2021,2026,Y
234,10,*05jse*,Tommy Troy,SS,ARI,23.3,233,-1,2023,2026,Y
235,10,*066ir*,James Tibbs,OF,SF,22.6,221,-14,2024,2026,
236,10,*05g3k*,Yanquiel Fernandez,OF,COL,22.3,222,-14,2019,2025,
237,10,*05ynx*,River Ryan,SP,LAD,26.7,224,-13,2021,Debuted,
238,10,*06dnc*,Brandon Winokur,"SS,OF",MIN,20.4,225,-13,2023,2026,Y
239,10,*06f1c*,Jack Wenninger,SP,NYM,23.1,509,270,2023,2026,
240,10,*05y9r*,Justin Wrobleski,SP,LAD,24.8,226,-14,2021,Debuted,
241,10,*06f18*,Lucas Braun,SP,ATL,23.7,398,157,2023,2025,Y
242,10,*06hth*,Josh Adamczewski,SS,MIL,20,295,53,2023,2027,Y
243,10,*06ps3*,Yorger Bautista,OF,SEA,17.6,228,-15,2025,2029,
244,10,*06ps4*,Cris Rodriguez,OF,DET,17.3,229,-15,2025,2029,
245,10,*05yj5*,Gino Groover,3B,ARI,23.1,230,-15,2023,2025,Y
246,10,*06kxe*,Kellon Lindsey,SS,LAD,19.6,231,-15,2024,2027,
247,10,*06dn7*,A.J. Ewing,"2B,OF",NYM,20.7,489,242,2023,2026,Y
248,10,*06lp4*,Kash Mayfield,SP,SD,20.2,235,-13,2024,2027,Y
249,10,*06hey*,Owen Hall,SP,DET,19.5,236,-13,2024,2027,
250,10,*06kka*,Kale Fountain,3B,SD,19.7,237,-13,2024,2027,
251,10,*06mne*,Luke Dickerson,SS,WSH,19.7,238,-13,2024,2027,
252,10,*066al*,Otto Kemp,"2B,3B",PHI,25.7,433,181,2022,2025,Y
253,10,*05yhe*,Juan Brito,"1B,2B,3B",CLE,23.6,181,-72,2018,2025,Y
