Ranking,Tier,Player,Team,Position,Signed,ETA,Age,Prev Rank,Movement,OBP,Player ID,In-Person Look
1,1,Jasson Dominguez,NYY,OF,2019,Debuted,21.6,5,4,UP,*050c3*,Y
2,1,Junior Caminero,TB,3B,2019,Debuted,21.2,1,-1,,*05xch*,Y
3,2,Roman Anthony,BOS,OF,2022,2024,20.3,4,1,,*05u9z*,Y
4,2,Coby Mayo,BAL,3B,2020,Debuted,22.8,2,-2,,*05js5*,Y
5,2,Walker Jenkins,MIN,OF,2023,2025,19.6,7,2,,*05u3v*,Y
6,2,Samuel Basallo,BAL,C,2021,2025,20.1,15,9,UP,*05rbv*,Y
7,2,Dylan Crews,WSH,OF,2023,Debuted,22.2,9,2,UP,*0596e*,Y
8,2,Emmanuel Rodriguez,MIN,OF,2019,2025,21.5,10,2,UP,*054p6*,Y
9,2,Travis Bazzana,CLE,"2B,SS",2024,2025,22,8,-1,,*05zde*,
10,2,Noah Schultz,CHW,P,2022,2025,21.1,11,1,,*05uc7*,Y
11,2,Andrew Painter,PHI,P,2021,2025,21.4,12,1,,*05r3i*,
12,3,Max Clark,DET,OF,2023,2025,19.7,19,7,,*05u9y*,Y
13,3,JJ Wetherholt,STL,3B,2024,2025,22,14,1,,*06aw3*,
14,3,Leodalis De Vries,SD,SS,2024,2026,17.9,17,3,,*067yc*,
15,3,Sebastian Walcott,TEX,SS,2023,2026,18.5,16,1,,*0662o*,Y
16,3,Dalton Rushing,LAD,C,2022,2025,23.6,41,25,UP,*05xtz*,
17,3,Bryce Eldridge,SF,OF,2023,2026,19.9,34,17,,*05u96*,
18,3,Charlie Condon,COL,1B,2024,2025,21.4,6,-12,,*06alk*,Y
19,3,Jackson Jobe,DET,P,2021,2025,22.1,13,-6,,*05rb0*,Y
20,3,Bubba Chandler,PIT,P,2021,2025,22,36,16,,*05rik*,Y
21,3,Chase Dollander,COL,P,2023,2025,22.9,37,16,,*05yj0*,
22,3,Carson Williams,TB,SS,2021,2025,21.2,18,-4,UP,*05t9n*,Y
23,3,Matt Shaw,CHC,2B,2023,2024,22.8,25,2,,*063vu*,
24,3,Jac Caglianone,KC,1B,2024,2025,21.6,21,-3,,*05u9q*,Y
25,3,Nick Kurtz,OAK,1B,2024,2025,21.5,29,4,,*062k5*,
26,3,Lazaro Montes,SEA,"1B,OF",2022,2025,19.9,32,6,UP,*05rfc*,
27,3,Kristian Campbell,BOS,SS,2023,2025,22.2,48,21,,*06f0q*,Y
28,3,Jordan Lawlar,ARI,SS,2021,Debuted,22.2,27,-1,,*05r1m*,
29,4,Chase DeLauter,CLE,OF,2022,2025,22.9,28,-1,,*05uei*,Y
30,4,Owen Caissie,CHC,OF,2020,2024,22.2,30,0,UP,*05jsg*,Y
31,4,Marcelo Mayer,BOS,SS,2021,2025,21.7,20,-11,UP,*05r9j*,Y
32,4,Braden Montgomery,BOS,OF,2024,2026,21.4,33,1,,*05rcg*,Y
33,4,Colson Montgomery,CHW,"3B,SS",2021,2024,22.5,24,-9,,*05rch*,Y
34,4,Quinn Mathews,STL,P,2023,2025,23.9,55,21,,*060gd*,
35,4,Travis Sykora,WSH,P,2023,2026,20.4,96,61,,*05ycl*,Y
36,4,Kumar Rocker,TEX,P,2022,2025,24.8,255,219,,*04azu*,
37,4,Thomas White,MIA,P,2023,2026,19.9,72,35,,*05tp6*,
38,4,Jonny Farmelo,SEA,SS,2023,2026,20,38,0,,*066sx*,
39,4,Josue De Paula,LAD,OF,2022,2026,19.3,78,39,,*061zv*,
40,4,Joendry Vargas,LAD,SS,2023,2027,18.8,40,0,,*06625*,
41,4,Moises Ballesteros,CHC,C,2020,2026,20.8,43,2,UP,*05rbs*,Y
42,4,Xavier Isaac,TB,1B,2022,2025,20.7,31,-11,UP,*062pp*,Y
43,4,Brandon Sproat,NYM,P,2023,2024,24,35,-8,,*0515o*,
44,4,Cam Smith,CHC,3B,2024,2026,21.5,60,16,,*060jo*,
45,4,Colt Emerson,SEA,SS,2023,2026,19.1,26,-19,,*060ub*,
46,5,Jett Williams,NYM,SS,2022,2026,20.9,44,-2,UP,*060la*,Y
47,5,Kevin McGonigle,DET,SS,2023,2026,20.1,45,-2,,*05yby*,Y
48,5,Luke Keaschall,MIN,2B,2023,2025,22.1,46,-2,,*05zh9*,Y
49,5,Brooks Lee,MIN,"3B,SS",2022,Debuted,23.6,22,-27,,*04yig*,Y
50,5,Kyle Teel,BOS,C,2023,2025,22.6,47,-3,,*05wxy*,Y
51,5,Michael Arroyo,SEA,SS,2022,2026,19.8,85,34,,*05yid*,
52,5,Tink Hence,STL,P,2020,2025,22.1,49,-3,,*05jpx*,Y
53,5,Emil Morales,LAD,SS,2024,2027,18,50,-3,,*06ibo*,
54,5,Robert Calaz,COL,OF,2023,2027,18.8,114,60,,*066mo*,
55,5,Aidan Miller,PHI,3B,2023,2026,20.3,61,6,,*05u36*,Y
56,5,Chase Burns,CIN,P,2024,2025,21.6,52,-4,,*05rb3*,
57,5,Hagen Smith,CHW,P,2024,2025,21.1,53,-4,,*05zd4*,Y
58,5,Rhett Lowder,CIN,P,2023,2025,22.5,82,24,,*061bo*,
59,5,Christian Moore,LAA,2B,2024,2024,21.9,57,-2,,*06cq8*,
60,5,Kyle Manzardo,CLE,1B,2021,Debuted,24.1,59,-1,,*05rfu*,Y
61,5,Jacob Wilson,OAK,SS,2023,Debuted,22.4,66,5,,*0622t*,
62,5,Brock Wilken,MIL,3B,2023,2025,22.2,30,-32,,*05ubi*,
63,5,Felnin Celesten,SEA,SS,2023,2027,19,62,-1,,*05mx9*,
64,5,Konnor Griffin,PIT,SS,2024,2027,18.4,63,-1,,*05u3u*,
65,5,Bryce Rainer,DET,SS,2024,2027,19.2,65,0,,*05yai*,
66,5,Alejandro Rosario,TEX,P,2023,2026,22.7,131,65,,*05jri*,Y
67,5,Cade Horton,CHC,P,2022,2025,23.1,48,-19,,*05gww*,Y
68,5,Hurston Waldrep,ATL,P,2023,Debuted,22.5,68,0,,*0603p*,Y
69,5,Zyhir Hope,LAD,OF,2023,2026,19.6,115,46,,*06eyu*,
70,5,Ryan Clifford,NYM,"1B,OF",2022,2025,21.1,69,-1,,*05ge1*,Y
71,5,Ethan Salas,SD,C,2023,2025,18.3,79,8,,*05ybr*,
72,5,Zebby Matthews,MIN,P,2022,Debuted,24.3,54,-18,,*066cf*,
73,5,Thomas Harrington,PIT,P,2022,2025,23.2,94,21,,*05zya*,Y
74,6,Tyler Locklear,SEA,"1B,3B",2022,Debuted,23.8,73,-1,UP,*05xu8*,Y
75,6,Agustin Ramirez,MIA,C,2019,2024,23,42,-33,,*04z6m*,Y
76,6,Jaison Chourio,CLE,OF,2022,2027,19.3,85,9,,*05yix*,Y
77,6,Cooper Pratt,MIL,SS,2023,2026,20.1,75,-2,,*067xj*,Y
78,6,Jacob Melton,HOU,OF,2022,2025,24,71,-7,UP,*061gx*,Y
79,6,Drew Gilbert,NYM,OF,2022,2024,24,88,9,,*05xu0*,Y
80,6,Ronny Mauricio,NYM,2B,2017,Debuted,23.4,111,31,DOWN,*04fyo*,Y
81,6,Jarlin Susana,WSH,P,2022,2025,20.5,97,16,,*05y7n*,Y
82,6,Jacob Misiorowski,MIL,P,2022,2024,22.4,80,-2,,*061yu*,Y
83,6,Caden Dana,LAA,P,2022,2024,20.7,81,-2,,*063e5*,
84,6,Eduardo Quintero,LAD,"C,OF",2023,2027,19,86,2,,*06c79*,
85,6,Drake Baldwin,ATL,C,2022,2025,23.5,133,48,,*0630d*,Y
86,6,Ralphy Velazquez,CLE,C,2023,2026,19.3,83,-3,,*067yp*,Y
87,6,Eduardo Tait,PHI,C,2023,2027,18,84,-3,,*06bsb*,Y
88,6,Thayron Liranzo,DET,C,2021,2026,21.2,170,82,,*05r64*,
89,6,Jesus Made,MIL,SS,2024,2028,17.3,169,80,,*06ibv*,
90,6,Cole Young,SEA,SS,2022,2025,21.1,23,-67,UP,*05y7x*,
91,6,Welbyn Francisca,CLE,SS,2023,2027,18.3,91,0,,*066mk*,
92,6,Aidan Smith,TB,OF,2023,2026,20.1,106,14,,*06dq9*,Y
93,6,Angel Genao,CLE,SS,2021,2026,20.3,118,25,,*05r5e*,
94,6,Luke Adams,MIL,3B,2022,2025,20.4,117,23,,*06582*,Y
95,6,Kevin Alcantara,CHC,OF,2018,2025,22.2,130,35,,*04qow*,Y
96,6,Edgar Quero,CHW,C,2021,2024,21.4,148,52,,*05un2*,Y
97,6,Tyler Black,MIL,2B,2021,Debuted,24.1,74,-23,UP,*05u2u*,Y
98,6,Brady House,WSH,SS,2021,2025,21.3,90,-8,,*059bx*,Y
99,6,Jefferson Rojas,CHC,SS,2022,2026,19.4,110,11,,*061wh*,Y
100,6,Demetrio Crisantes,ARI,SS,2022,2026,20,145,45,,*064o4*,
101,6,Jace Jung,DET,2B,2022,Debuted,23.8,92,-9,UP,*05tzg*,Y
102,6,James Triantos,CHC,"3B,SS",2021,2025,21.6,93,-9,,*05ucf*,Y
103,6,Luis Baez,HOU,OF,2022,2026,20.7,70,-33,,*060fy*,Y
104,6,Franklin Arias,BOS,SS,2023,2027,18.8,95,-9,,*06c78*,Y
105,6,James Tibbs,SF,OF,2024,2025,21.9,87,-18,,*066ir*,
106,6,Cole Carrigg,COL,OF,2023,2025,22.3,156,50,,*066eo*,
107,6,Gary Gill Hill,TB,P,2022,2026,20,120,13,,*064o6*,Y
108,6,Trey Yesavage,TOR,P,2024,2025,21.1,98,-10,,*06apx*,
109,6,Yophery Rodriguez,MIL,OF,2023,2026,18.8,99,-10,,*066mq*,Y
110,6,Eduardo Beltre,MIN,OF,2024,2027,17.9,201,91,,*06icc*,
111,6,Brayden Taylor,TB,3B,2023,2025,22.3,135,24,,*05wy1*,Y
112,6,Starlyn Caba,PHI,SS,2023,2027,18.8,102,-10,,*066mx*,Y
113,6,Blake Mitchell,KC,"C,3B",2023,2026,20.1,103,-10,UP,*05y3q*,Y
114,6,Harry Ford,SEA,C,2021,2025,21.6,64,-50,UP,*05raw*,Y
115,6,Yoeilin Cespedes,BOS,SS,2023,2027,19,112,-3,,*066mn*,Y
116,6,Angel Martinez,CLE,"SS,OF",2018,Debuted,22.6,105,-11,,*04ydd*,
117,6,Adael Amador,COL,"2B,SS",2019,Debuted,21.4,109,-8,,*04ysv*,
118,6,Colby Thomas,OAK,OF,2022,2024,23.6,124,6,UP,*0630e*,
119,6,Dylan Beavers,BAL,OF,2022,2025,23.1,51,-68,UP,*05xty*,Y
120,6,River Ryan,LAD,P,2021,Debuted,26.1,108,-12,,*05ynx*,
121,6,Carson Benge,NYM,OF,2024,2026,21.6,126,5,,*06aly*,
122,6,Logan Henderson,MIL,P,2021,2025,22.5,122,0,,*05uo2*,Y
123,6,Luisangel Acuna,NYM,SS,2018,2024,22.5,132,9,,*04z6k*,Y
124,7,Deyvison De Los Santos,MIA,3B,2019,2024,21.2,138,14,DOWN,*05nsq*,Y
125,7,Noble Meyer,MIA,P,2023,2026,19.7,76,-49,,*062yr*,
126,7,Jake Bloss,TOR,P,2023,Debuted,23.2,142,16,,*06dqi*,Y
127,7,Zach Dezenzo,HOU,3B,2022,Debuted,24.3,116,-11,,*0641c*,Y
128,7,Arjun Nimmala,TOR,SS,2023,2026,18.9,193,65,,*05y3p*,Y
129,7,C.J. Kayfus,CLE,1B,2023,2025,22.9,136,7,,*06dn6*,
130,7,Juan Brito,CLE,"2B,SS",2018,2024,23,119,-11,UP,*05yhe*,Y
131,7,Termarr Johnson,PIT,2B,2022,2026,20.2,154,23,UP,*05rc5*,Y
132,7,Jackson Ferris,LAD,P,2022,2026,20.7,167,35,,*05u6g*,
133,7,Joey Loperfido,TOR,OF,2021,Debuted,25.3,127,-6,,*05yfl*,Y
134,7,Luis Pena,MIL,SS,2024,2028,17.8,190,56,,*06j3f*,
135,7,Echedry Vargas,TEX,3B,2022,2027,19.5,113,-22,,*061v7*,
136,7,Ryan Waldschmidt,ARI,OF,2024,2026,21.9,125,-11,,*06dlz*,
137,7,Sal Stewart,CIN,3B,2022,2026,20.8,143,6,UP,*05u9o*,
138,7,Cam Collier,CIN,3B,2022,2026,19.8,166,28,,*05u1y*,Y
139,7,Spencer Jones,NYY,"1B,OF",2022,2025,23.3,128,-11,,*04yi8*,Y
140,7,Seaver King,WSH,2B,2024,2026,21.4,129,-11,,*06cq7*,Y
141,7,Miguel Bleis,BOS,OF,2021,2025,20.5,107,-34,,*05m1c*,Y
142,7,Eric Bitonti,MIL,SS,2023,2026,18.8,134,-8,,*05yed*,
143,7,Robby Snelling,MIA,P,2022,2025,20.7,147,4,,*061mh*,
144,7,Jonah Tong,NYM,P,2022,2026,21.2,150,6,,*0658b*,
145,7,George Klassen,LAA,P,2023,2026,22.6,121,-24,,*067xm*,
146,7,Jaden Hamm,DET,P,2023,2025,22,140,-6,,*06f0u*,
147,7,Jairo Iriarte,CHW,P,2018,2025,22.7,141,-6,,*060q2*,
148,7,Luis Merejo,CLE,3B,2023,2027,18.2,327,179,,*06awf*,
149,7,Braxton Ashcraft,PIT,P,2018,2024,24.9,151,2,,*04pmq*,Y
150,7,Chase Hampton,NYY,P,2022,2025,23.1,100,-50,,*05yh3*,Y
151,7,Santiago Suarez,TB,P,2022,2026,19.7,154,3,,*0620x*,Y
152,7,Logan Evans,SEA,P,2023,2024,23.3,161,9,,*06hv8*,
153,7,Luis Morales,OAK,P,2023,2026,22,168,15,,*0662m*,
154,7,Brice Matthews,HOU,SS,2023,2024,22.5,180,26,,*06c36*,Y
155,7,George Lombard Jr.,NYY,SS,2023,2026,19.3,144,-11,,*06b72*,Y
156,7,Jared Serna,MIA,2B,2019,2025,22.3,178,22,UP,*062jx*,Y
157,7,Alex Freeland,LAD,SS,2022,2026,23,198,41,,*05xu1*,
158,7,Yanquiel Fernandez,COL,OF,2019,2025,21.7,146,-12,DOWN,*05g3k*,
159,7,Chase Davis,STL,OF,2023,2025,22.8,179,20,,*05jrf*,
160,7,Connor Norby,MIA,2B,2021,Debuted,24.3,176,16,,*05tce*,Y
161,7,AJ Smith-Shawver,ATL,P,2021,Debuted,21.8,149,-12,,*05uy5*,Y
162,7,Cam Caminiti,ATL,P,2024,2026,18.1,159,-3,,*062e0*,Y
163,7,Adam Mazur,MIA,P,2022,Debuted,23.4,152,-11,,*060gg*,
164,7,Jurrangelo Cijntje,SEA,P,2024,2026,21.3,153,-11,,*060m8*,
165,7,Kohl Drake,TEX,P,2022,2025,24.2,155,-10,,*066m0*,Y
166,7,Brody Hopkins,SEA,P,2023,2026,22.6,233,67,,*06f1b*,Y
167,7,Yeremi Cabrera,TEX,OF,2022,2027,19.2,232,65,,*06c3v*,
168,7,Dillon Dingler,DET,C,2020,Debuted,26,157,-11,UP,*05gx4*,Y
169,7,Orelvis Martinez,TOR,SS,2018,Debuted,22.8,158,-11,,*04mms*,Y
170,7,Jhonny Severino,PIT,SS,2022,2027,19.8,215,45,,*05yim*,Y
171,7,Thomas Saggese,STL,SS,2020,2025,22.4,183,12,DOWN,*05mru*,Y
172,7,K.C. Hunt,MIL,"SS,P",2022,2025,24.2,238,66,,*066b3*,
173,7,Jeferson Quero,MIL,C,2019,2025,21.9,187,14,,*05gss*,Y
174,7,Justin Wrobleski,LAD,P,2021,Debuted,24.2,162,-12,,*05y9r*,
175,7,Cade Cavalli,WSH,P,2020,Debuted,26.1,163,-12,,*05gef*,
176,7,Jack Leiter,TEX,P,2021,Debuted,24.4,225,49,,*04y9o*,Y
177,7,David Sandlin,BOS,P,2022,2025,23.6,165,-12,,*062pn*,Y
178,7,Slade Caldwell,ARI,OF,2024,2027,18.2,206,28,,*06agr*,
179,7,Jhostynxon Garcia,BOS,OF,2019,2025,21.7,186,7,,*05j8u*,Y
180,7,Denzel Clarke,OAK,OF,2021,2024,24.4,177,-3,UP,*05unf*,
181,7,Mac Horvath,TB,3B,2023,2025,22.6,264,83,,*05yha*,Y
182,7,Tyson Lewis,CIN,SS,2024,2027,18.7,171,-11,,*06mnk*,
183,7,Wyatt Sanford,PIT,SS,2024,2027,18.8,172,-11,,*06mnl*,
184,7,Theo Gillen,TB,SS,2024,2027,19,173,-11,,*05u2m*,Y
185,7,Kellon Lindsey,LAD,OF,2024,2027,19,174,-11,,*06kxe*,
186,7,PJ Morlando,MIA,1B,2024,2027,19.3,175,-11,,*06328*,Y
187,7,Hector Rodriguez,CIN,2B,2021,2026,20.5,213,26,,*05xse*,
188,7,Ty Johnson,TB,P,2023,2025,,576,388,,*06htl*,Y
189,7,Brailer Guerrero,TB,OF,2023,2027,18.2,237,48,,*066mz*,Y
190,7,Jesus Baez,NYM,SS,2022,2026,19.5,204,14,,*061rf*,
191,7,Jeral Perez,CHW,SS,2022,2026,19.8,199,8,,*061mj*,Y
192,8,Nacho Alvarez,ATL,3B,2022,Debuted,21.4,182,-10,,*064da*,Y
193,8,Gabriel Rincones Jr.,PHI,OF,2022,2026,23.5,207,14,UP,*0630f*,Y
194,8,Justin Foscue,TEX,"2B,OF",2020,Debuted,25.5,184,-10,UP,*05gsg*,Y
195,8,Justin Crawford,PHI,OF,2022,2026,20.7,217,22,,*05y30*,Y
196,8,Adrian Del Castillo,ARI,C,2021,Debuted,25,209,13,,*05jn0*,
197,8,Josue Briceno,DET,C,2023,2026,20,208,11,,*0637j*,Y
198,8,Vance Honeycutt,BAL,OF,2024,2026,21.3,188,-10,,*062e5*,
199,8,Emiliano Teodo,TEX,P,2020,2025,23.6,189,-10,,*05uo4*,Y
200,8,Carter Jensen,KC,C,2021,2025,21.2,231,31,UP,*05vy5*,Y
201,8,Yoniel Curet,TB,P,2019,2025,21.9,255,54,,*05uec*,Y
202,8,Ricky Tiedemann,TOR,P,2021,2026,22.1,191,-11,,*05js6*,Y
203,8,Owen Murphy,ATL,P,2022,2026,21,192,-11,,*062pm*,Y
204,8,J.R. Ritchie,ATL,P,2022,2026,21.2,214,10,,*05tzo*,
205,8,Ryan Sloan,SEA,P,2024,2027,18.6,194,-11,,*06ier*,
206,8,Kash Mayfield,SD,P,2024,2027,19.6,195,-11,,*06lp4*,
207,8,Braylon Doughty,CLE,P,2024,2027,18.8,196,-11,,*06kk6*,
208,8,Levi Sterling,PIT,P,2024,2027,18,197,-11,,*06hf3*,
209,8,Luis Perales,BOS,P,2019,2025,21.4,261,52,,*05gd5*,Y
210,8,Roderick Arias,NYY,SS,2022,2026,20,236,26,UP,*05gec*,Y
211,8,Jeremy Rodriguez,NYM,SS,2023,2027,18.2,244,33,,*066o8*,
212,8,Chase Petty,CIN,P,2021,2026,21.4,262,50,,*05raz*,
213,8,Grant Taylor,CHW,P,2023,2026,22.3,272,59,,*066er*,
214,8,Shay Whitcomb,HOU,SS,2020,Debuted,26,203,-11,,*05jqi*,Y
215,8,Tre' Morgan,TB,1B,2023,2025,22.2,227,12,,*05wrt*,Y
216,8,Tai Peete,SEA,SS,2023,2026,19.1,205,-11,,*06c7i*,
217,8,Yilber Diaz,ARI,P,2021,Debuted,24.1,222,5,,*06agh*,
218,8,Carson Whisenhunt,SF,P,2022,2024,23.9,224,6,,*05y7v*,Y
219,8,Jackson Baumeister,TB,P,2023,2025,22.2,311,92,,*05u9j*,Y
220,8,Enrique Bradfield Jr.,BAL,OF,2023,2025,22.8,248,28,,*05jre*,Y
221,8,Hao-Yu Lee,DET,2B,2021,2025,21.6,210,-11,UP,*05u2k*,Y
222,8,Tommy Troy,ARI,SS,2023,2025,22.6,139,-83,,*05jse*,
223,8,Tommy White,OAK,3B,2024,2025,21.5,212,-11,,*05tp7*,Y
224,8,Brett Wichrowski,MIL,P,2023,2026,22.1,257,33,,*06huh*,
225,8,Charles McAdoo,TOR,2B,2023,2025,22.5,181,-44,,*06f0z*,Y
226,8,Moises Chace,PHI,P,2019,2026,21.3,323,97,,*060vu*,Y
227,8,Ramon Ramirez,KC,C,2023,2027,19.2,230,3,,*06cn0*,
228,8,George Wolkow,CHW,3B,2023,2026,18.7,246,18,,*05u2o*,Y
229,8,Yassel Soler,ARI,3B,2023,2027,18.6,218,-11,,*06ciz*,
230,8,Bryan Ramos,CHW,3B,2018,Debuted,22.5,200,-30,UP,*059bs*,Y
231,8,Parker Messick,CLE,P,2022,2025,23.9,234,3,,*05tzn*,
232,8,Jedixson Paez,BOS,P,2021,2026,20.6,221,-11,,*05xzr*,Y
233,8,Javier Sanoja,MIA,3B,2021,2024,22,223,-10,,*062ho*,
234,8,Druw Jones,ARI,OF,2022,2026,20.8,249,15,,*05tdk*,
235,8,Walker Janek,HOU,C,2024,2026,18,226,-9,,*06kkk*,Y
236,8,Alfredo Duno,CIN,C,2023,2026,18.7,336,100,UP,*06626*,
237,8,Didier Fuentes,ATL,P,2022,2026,19.2,243,6,,*064zm*,Y
238,8,Chayce McDermott,BAL,P,2021,Debuted,26.1,160,-78,,*05uws*,Y
239,8,Yordanny Monegro,BOS,P,2020,2025,21.9,369,130,,*06c28*,Y
240,8,Edwin Arroyo,CIN,SS,2021,2025,21,308,68,,*05rcj*,
241,8,Colton Ledbetter,TB,OF,2023,2025,22.8,235,-6,,*0689z*,Y
242,8,Zac Veen,COL,OF,2020,2025,22.7,220,-22,,*05gbg*,Y
243,8,Cooper Hjerpe,STL,P,2022,2024,23.5,239,-4,,*05yef*,Y
244,8,Mike Boeve,MIL,3B,2023,2025,22.4,240,-4,,*06dnb*,
245,8,Robert Gasser,MIL,P,2021,Debuted,25.3,242,-3,,*05u6r*,Y
246,8,Dakota Jordan,SF,OF,2024,2026,21.3,245,-1,,*067yf*,
247,8,Gabriel Gonzalez,MIN,OF,2021,2025,20.7,247,0,,*05rcs*,Y
248,8,Owen Wild,TB,P,2023,2025,22.1,294,46,,*06fqq*,Y
249,9,Mason Adams,CHW,P,2022,2025,24.5,241,-8,,*06657*,Y
250,9,Andrew Morris,MIN,P,2022,2025,23,322,72,,*0648r*,
251,9,Andres Chaparro,WSH,3B,2015,Debuted,25.4,611,360,,*0406n*,
252,9,Kale Fountain,SD,3B,2024,2027,19.1,250,-2,,*06kka*,
253,9,Luke Dickerson,WSH,SS,2024,2027,19.1,251,-2,,*06mne*,
